activation,model_type,p,seed,train_loss,test_loss,test_accuracy
relu,mlp,0.0,724912026,0.009010658889791618,0.09716099296294797,0.9802
relu,mlp,0.0,979590926,0.004936094558006153,0.10060526554006764,0.9823
relu,mlp,0.0,945397917,0.008610849760705605,0.09241684158822318,0.9803
relu,mlp,0.0,500254774,0.007386501715720321,0.10949956894120333,0.979
relu,mlp,0.0,522645484,0.00764717615187789,0.08293715342024807,0.982
relu,mlp,0.0,380787083,0.006294982578038859,0.09930147242622915,0.9814
relu,mlp,0.0,766018285,0.004350357673907032,0.11705510635809022,0.9773
relu,mlp,0.0,95486605,0.004292980035922179,0.09092003389291194,0.9824
relu,mlp,0.0,744196952,0.006174217783617011,0.09622555433649832,0.9797
relu,mlp,0.0,553025322,0.007858209407019118,0.10800955949949566,0.9801
relu,mlp,0.0,621699401,0.0074748375055302555,0.09962875715253276,0.9795
relu,mlp,0.0,105679868,0.008828204597959605,0.11986459853547754,0.9765
relu,mlp,0.0,73625668,0.007820097647358974,0.09522289716941268,0.98
relu,mlp,0.0,645816464,0.005334916282212361,0.09061251797956311,0.9811
relu,mlp,0.0,90127986,0.008890287887561134,0.11474221132148214,0.9775
relu,mlp,0.0,289465225,0.008481308484512071,0.0968553056410703,0.9813
relu,mlp,0.0,268250852,0.005682717962757064,0.09008731048520931,0.9824
relu,mlp,0.0,49354887,0.004789730116732729,0.10091786229789895,0.9804
relu,mlp,0.0,97327826,0.0069149588820912565,0.10858647837577118,0.9786
relu,mlp,0.0,69323222,0.008920271162812908,0.0924593269369202,0.9815
relu,mlp,0.0,254272563,0.006885699256827744,0.13215631079247106,0.9731
relu,mlp,0.0,823002638,0.008880689568996118,0.09294996333572345,0.981
relu,mlp,0.0,8043910,0.008656604172149673,0.1048137174273994,0.9789
relu,mlp,0.0,661227072,0.007617313493407952,0.0970717015253845,0.9791
relu,mlp,0.0,625162103,0.008930064329435118,0.10765009529577037,0.977
relu,mlp,0.0,519955092,0.005206189218605869,0.10350707605739771,0.9795
relu,mlp,0.0,122849989,0.006571581201915008,0.09462995008363359,0.9796
relu,mlp,0.0,125467290,0.006378260577594241,0.09919578065309798,0.9797
relu,mlp,0.0,721085797,0.01047142132182101,0.09930641716747032,0.9802
relu,mlp,0.0,473233032,0.005916337107835959,0.1122815234404159,0.9776
relu,mlp,0.0,669243391,0.007266348116204608,0.111445136076919,0.9796
relu,mlp,0.0,196592081,0.001812152902316302,0.09248946791556237,0.9809
relu,mlp,0.0,835549144,0.005823929368991715,0.09332167870762023,0.9816
relu,mlp,0.0,159509336,0.0055452717915643,0.09278136479222776,0.9805
