activation,model_type,p,seed,train_loss,test_loss,test_accuracy
relu,mlp,0.8,125467290,1.1574409546534221,0.45102315138876437,0.8969
relu,mlp,0.8,978152989,1.1461816984812419,0.4311013502240181,0.8944
relu,mlp,0.8,37501686,1.1415477160135905,0.4343557603478432,0.9045
relu,mlp,0.8,866512240,1.1460896132151286,0.4415199164509773,0.8934
relu,mlp,0.8,473233032,1.1657543498357137,0.43481360953450204,0.8993
relu,mlp,0.8,97327826,1.153055192375183,0.47446344308257105,0.8937
relu,mlp,0.8,625162103,1.1403292203267414,0.4756696889698505,0.8914
relu,mlp,0.8,835549144,1.1534907303492228,0.4913648974895477,0.8773
relu,mlp,0.8,721085797,1.1403502524693807,0.4491696380972862,0.8962
relu,mlp,0.8,8043910,1.1488671408971152,0.43345883878469466,0.8973
relu,mlp,0.8,744196952,1.1368928475062052,0.45607617726922034,0.9002
relu,mlp,0.8,90127986,1.1337839261372884,0.44646752574443815,0.8982
relu,mlp,0.8,380787083,1.1535515150705973,0.45400077885985374,0.899
relu,mlp,0.8,823002638,1.14897854124705,0.4182896789520979,0.9056
relu,mlp,0.8,18713225,1.147373275566101,0.46700630264878273,0.8999
relu,mlp,0.8,17008525,1.1408403128941853,0.4556803639680147,0.8994
relu,mlp,0.8,254272563,1.162951117960612,0.438873741543293,0.8973
relu,mlp,0.8,105679868,1.1496269574483235,0.4957651539027691,0.8909
relu,mlp,0.8,33086297,1.1552084889094034,0.41461594742536545,0.9049
relu,mlp,0.8,846938259,1.1551768378575642,0.4228479797124863,0.899
relu,mlp,0.8,371610197,1.1471193775812785,0.4277206113696098,0.9035
relu,mlp,0.8,696124035,1.137754495938619,0.42111421808153393,0.9081
relu,mlp,0.8,519955092,1.1451373832066853,0.46064070283174513,0.8987
relu,mlp,0.8,661227072,1.1465845028559367,0.4220761494860053,0.9101
relu,mlp,0.8,497730846,1.1520251867612203,0.47567239825725555,0.884
relu,mlp,0.8,159509336,1.1521117347081502,0.5371509098410606,0.8764
relu,mlp,0.8,669243391,1.152987425295512,0.4704286747455597,0.884
relu,mlp,0.8,98018897,1.1504922392209371,0.45877371911406517,0.9041
relu,mlp,0.8,766018285,1.1481673899968465,0.4295287130355835,0.9017
relu,mlp,0.8,196592081,1.1567220136642455,0.44483525047302247,0.8962
relu,mlp,0.8,122849989,1.1499201557795207,0.40284945205152034,0.9084
relu,mlp,0.8,907686068,1.1528127840677898,0.42255335171222685,0.9011
relu,mlp,0.8,268250852,1.145493459002177,0.4750466428011656,0.8971
relu,mlp,0.8,69323222,1.157316486231486,0.4375681874990463,0.8963
relu,mlp,0.8,580989016,1.1522105690638225,0.4513505042910576,0.8863
relu,mlp,0.8,15696794,1.1501371931711832,0.43445633766651154,0.9016
relu,mlp,0.8,522645484,1.1464207442601522,0.42988299175798894,0.906
relu,mlp,0.8,540181998,1.1566471045176188,0.46421129839420316,0.8956
relu,mlp,0.8,945397917,1.1508457998275756,0.4225140467941761,0.9032
relu,mlp,0.8,716460187,1.1461585260709126,0.43149244814887644,0.9055
relu,mlp,0.8,979590926,1.1563756129582723,0.4935737123012543,0.8855
relu,mlp,0.8,500254774,1.1468384627660115,0.4389371374130249,0.897
relu,mlp,0.8,95486605,1.1473723923365275,0.4359625886797905,0.8997
relu,mlp,0.8,553025322,1.149563286145528,0.4304910520851612,0.9009
relu,mlp,0.8,73625668,1.1537250497817992,0.46851136132478716,0.8961
relu,mlp,0.8,49354887,1.1500807809829712,0.4719653285622597,0.9012
relu,mlp,0.8,645816464,1.1661552282333374,0.44355296394824983,0.8985
relu,mlp,0.8,621699401,1.1483075229644775,0.4291460785627365,0.9013
relu,mlp,0.8,724912026,1.1454931327184041,0.47551032884716987,0.8929
relu,mlp,0.8,289465225,1.148363787206014,0.4250541178584099,0.9054
relu,mlp,0.8,67729146,1.1406156487147012,0.46814053629636765,0.8927
relu,mlp,0.8,692170738,1.1435371691385905,0.47615156255960467,0.8908
relu,mlp,0.8,516508872,1.1425312203089397,0.46485025177001954,0.8934
relu,mlp,0.8,885173075,1.1488527250289917,0.4350311475872993,0.8961
relu,mlp,0.8,381435129,1.155941959285736,0.4688646495401859,0.8973
relu,mlp,0.8,597464918,1.1479860655466716,0.4511516716480255,0.8911
relu,mlp,0.8,267525050,1.1483125210444132,0.4361605361759663,0.8993
relu,mlp,0.8,324730724,1.148975945218404,0.4188933777719736,0.9039
relu,mlp,0.8,912872068,1.1575544491449992,0.40964756578803063,0.9071
