activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
relu,mlp,replacement,0.0,0.0,866512240,0.0075406824295719465,0.08291845522666408,0.9785,1.0,[128]
relu,mlp,replacement,0.0,0.0,823002638,0.009375663847848773,0.08046607859665528,0.9777,1.0,[128]
relu,mlp,replacement,0.0,0.0,125467290,0.008690757692232728,0.07975263536283746,0.9781,1.0,[128]
relu,mlp,replacement,0.0,0.0,978152989,0.00798998826580743,0.07669743911959231,0.9783,1.0,[128]
relu,mlp,replacement,0.0,0.0,846938259,0.008212782286604246,0.07821003316364658,0.9786,1.0,[128]
relu,mlp,replacement,0.0,0.0,37501686,0.007997127210100492,0.07723730658687418,0.9794,1.0,[128]
relu,mlp,replacement,0.0,0.0,835549144,0.009381129746014873,0.08005688626333139,0.9776,1.0,[128]
relu,mlp,replacement,0.0,0.0,380787083,0.008561812909195821,0.08828030040822923,0.9766,1.0,[128]
relu,mlp,replacement,0.0,0.0,473233032,0.008078671609113615,0.08438356758831506,0.9781,1.0,[128]
relu,mlp,replacement,0.0,0.0,625162103,0.008914725561439992,0.08400461200558347,0.9775,1.0,[128]
relu,mlp,replacement,0.0,0.0,17008525,0.00813399912553529,0.08289359638143796,0.9781,1.0,[128]
relu,mlp,replacement,0.0,0.0,97327826,0.008973870127958555,0.07574020321241114,0.9786,1.0,[128]
relu,mlp,replacement,0.0,0.0,8043910,0.008041728548581402,0.07996522923493758,0.9779,1.0,[128]
relu,mlp,replacement,0.0,0.0,18713225,0.008290640127658844,0.0789391000998614,0.9776,1.0,[128]
relu,mlp,replacement,0.0,0.0,90127986,0.009527447092533111,0.08258118383251713,0.9772,1.0,[128]
relu,mlp,replacement,0.0,0.0,254272563,0.008305123295759161,0.08208709612523962,0.9783,1.0,[128]
relu,mlp,replacement,0.0,0.0,105679868,0.008400540135304134,0.08617945614415075,0.9763,1.0,[128]
relu,mlp,replacement,0.0,0.0,721085797,0.007911790089309215,0.08026702618987765,0.9797,1.0,[128]
relu,mlp,replacement,0.0,0.0,744196952,0.008523167371128995,0.08771727722352371,0.9755,1.0,[128]
relu,mlp,replacement,0.0,0.0,33086297,0.007682467955909669,0.07508563050450175,0.9797,1.0,[128]
relu,mlp,replacement,0.0,0.0,519955092,0.009130280118683973,0.07895799951000372,0.9783,1.0,[128]
relu,mlp,replacement,0.0,0.0,661227072,0.008587529925008615,0.0858152379021747,0.9763,1.0,[128]
relu,mlp,replacement,0.0,0.0,766018285,0.007699312524870038,0.07242680057459511,0.9792,1.0,[128]
relu,mlp,replacement,0.0,0.0,522645484,0.008718206121958793,0.08037520407447592,0.9793,1.0,[128]
relu,mlp,replacement,0.0,0.0,497730846,0.007751873439922929,0.08081556075003464,0.9782,1.0,[128]
relu,mlp,replacement,0.0,0.0,159509336,0.007088205726444721,0.08407234302871366,0.9781,1.0,[128]
