activation,model_type,corruption_mode,p,seed,test_loss,test_accuracy,mlp_hidden_sizes
relu,mlp,binary_replacement,0.0,823002638,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,866512240,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,625162103,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,978152989,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,473233032,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,125467290,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,90127986,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,105679868,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,835549144,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,380787083,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,254272563,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,8043910,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,17008525,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,744196952,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,33086297,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,846938259,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,37501686,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,721085797,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,97327826,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,18713225,0.1312771479020037,0.976,"[256, 256]"
relu,mlp,binary_replacement,0.0,371610197,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,519955092,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,661227072,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,696124035,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,497730846,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,122849989,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,907686068,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,669243391,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,540181998,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,15696794,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,69323222,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,98018897,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,766018285,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,196592081,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,159509336,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,580989016,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,945397917,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,268250852,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,522645484,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,716460187,0.1687543759741875,0.9736,"[256, 256]"
relu,mlp,binary_replacement,0.0,645816464,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,621699401,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,885173075,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,979590926,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,724912026,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,73625668,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,597464918,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,95486605,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,500254774,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,289465225,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,553025322,0.13575759153728137,0.9764,"[256, 256]"
relu,mlp,binary_replacement,0.0,692170738,0.13575759153728137,0.9764,"[256, 256]"
