activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
relu,mlp,replacement,0.0,0.0,721085797,0.013314666738299032,0.10382856969584245,0.9761,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,97327826,0.013669311286633214,0.09326074191535008,0.9765,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,37501686,0.012798112942775091,0.10873572193871951,0.9735,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,15696794,0.01724108707482616,0.09587014290840525,0.9746,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,744196952,0.0211578559294343,0.1017773909797499,0.9749,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,625162103,0.016653139557441077,0.11334678921545856,0.9731,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,766018285,0.015220596277713775,0.10522523235906847,0.9749,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,90127986,0.016118249964217346,0.09667168526349124,0.9762,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,122849989,0.017426691531886657,0.09868098694158252,0.977,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,98018897,0.016190367382019757,0.10186831403174437,0.9749,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,196592081,0.018400918185400465,0.11374951045638881,0.9718,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,380787083,0.015539102202902237,0.09893717755581019,0.9759,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,716460187,0.015814648219322165,0.11266580039486289,0.9712,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,696124035,0.01417377190887928,0.10709836484643165,0.9752,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,580989016,0.01553649588264525,0.09990143653848063,0.9758,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,473233032,0.014271863752168913,0.12648458360563963,0.9694,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,254272563,0.01531203425253431,0.10265327285393142,0.9742,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,823002638,0.014443156602978706,0.11135641292547807,0.9718,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,945397917,0.016474193286771577,0.09426025265604257,0.9757,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,866512240,0.015712600080668927,0.09785531560070812,0.9775,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,371610197,0.016206847022349636,0.11057003402319387,0.9737,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,17008525,0.016186146635810535,0.10587172189527773,0.9748,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,978152989,0.015788101894284288,0.1055158248629421,0.972,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,125467290,0.016011084194978077,0.09532258214917966,0.976,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,159509336,0.014288781518861652,0.10221667010872625,0.9773,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,907686068,0.016178926920394104,0.10686512358110922,0.9717,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,18713225,0.013212488640099765,0.11462025910930243,0.9728,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,846938259,0.01811796862160166,0.10094322101798316,0.9746,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,8043910,0.02051665290296078,0.10639283608468249,0.9738,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,669243391,0.01693636632487178,0.10834926390785259,0.9727,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,33086297,0.01651896269271771,0.10143046523757512,0.9745,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,835549144,0.012697894335724413,0.09967041073646979,0.976,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,497730846,0.018026886631548406,0.10778649207749404,0.9739,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,268250852,0.01599130002645155,0.09330832118578837,0.9761,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,522645484,0.014734865911056598,0.10477926900666207,0.9745,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,540181998,0.014395028838763634,0.10592267869324132,0.9742,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,105679868,0.015053568010777235,0.10057433879364107,0.9758,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,69323222,0.016816253805408875,0.0972506878768676,0.9743,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,661227072,0.016577951801816624,0.1078033189630427,0.9727,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,519955092,0.014417058155685664,0.10578924547326751,0.9733,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,979590926,0.014589381849517425,0.10988779460787773,0.971,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,553025322,0.016493634588768086,0.10818478756448312,0.9743,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,500254774,0.016917680009951194,0.10812695847339346,0.9729,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,645816464,0.01789296009975175,0.10073305235647421,0.9746,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,724912026,0.012950729965294401,0.10640639184806495,0.9728,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,73625668,0.015451125795145829,0.11118825333496789,0.9738,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,95486605,0.01619577994514257,0.10545395113935228,0.9742,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,621699401,0.014765719068671267,0.10360193610144779,0.9746,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,49354887,0.016367097049951554,0.11901772963476832,0.9702,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,289465225,0.017746906408295036,0.10385756404488347,0.9748,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,885173075,0.013933036310225725,0.10317118083519744,0.9731,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,597464918,0.01671028982376059,0.11375997248168569,0.9728,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,381435129,0.016517606999973455,0.09971912619840005,0.9757,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,267525050,0.01413112932133178,0.10415131613996345,0.976,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,692170738,0.015427069746951263,0.10583729623965919,0.9726,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,67729146,0.015203641744951406,0.09824070919621736,0.9755,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,516508872,0.013128265464181702,0.10275512213570982,0.9758,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,286103065,0.016688310651356977,0.11563849178510718,0.971,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,324730724,0.015679538790136574,0.13309686020109804,0.9688,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,912872068,0.013446875879416863,0.1122296697679907,0.9719,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,545570290,0.015488281265149513,0.10129070131868356,0.9761,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,703818161,0.014683669503778219,0.09877206968875835,0.9761,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,714480213,0.012870103214805325,0.10467776289308676,0.9746,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,941193467,0.015030509798104564,0.11508494880003854,0.9714,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,486821677,0.015081746017063658,0.12381738718280394,0.9711,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,214782962,0.015044873094807069,0.10612910671192222,0.9748,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,75793651,0.017688959470391275,0.09928076108246314,0.9764,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,358103727,0.015256258641928434,0.10708084712626878,0.9748,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,569256263,0.015340744400396943,0.09822114282860421,0.9738,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,6206485,0.018518482557684183,0.10762162434612546,0.9732,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,762370993,0.016636918541044,0.09965712845514063,0.9738,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,154370169,0.016436406877636908,0.10027756010034354,0.9739,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,179435639,0.019095500701169173,0.1085405043953535,0.9726,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,405173734,0.01663045932253202,0.09354058101507835,0.9744,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,705829017,0.018485678163419166,0.09809917630944401,0.9749,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,20722749,0.015489401289448142,0.10934694471362819,0.9741,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,507694048,0.015956538076202075,0.10495943831095647,0.9741,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,58170179,0.01581821023498972,0.09502953940822044,0.9754,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,81855611,0.013361637208238243,0.10954532218677923,0.9729,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,630853931,0.01800986694842577,0.10154889845896396,0.9732,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,533200512,0.015094891788934669,0.11005741517740535,0.9735,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,176097128,0.01525291255004704,0.09975261423609336,0.9743,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,598428787,0.015639593341511986,0.09819493291322141,0.9755,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,230955849,0.013485775498300791,0.09627720682113432,0.9756,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,80876057,0.016826808681339026,0.10525007441567723,0.9725,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,29129181,0.013292535701269904,0.09691105324716773,0.9761,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,371762550,0.016740252585088215,0.11088485139897966,0.9722,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,119066063,0.015438682394785186,0.10560079991573876,0.9737,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,154882669,0.017641099708527327,0.09428889491923619,0.9756,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,827833442,0.017494687750190495,0.10212238375000379,0.9738,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,568743040,0.016404334314788382,0.09546822246538941,0.9766,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,151642155,0.013459770648181438,0.1004088018072769,0.9741,1.0,"[64, 64]"
relu,mlp,replacement,0.05,0.0,511031223,0.04204005632996559,0.07771592362164811,0.9784,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,719945843,0.014989520473281542,0.10636717134651116,0.9741,1.0,"[64, 64]"
relu,mlp,replacement,0.05,0.0,505560735,0.0403546923716863,0.08574546713423332,0.9756,1.0,"[64, 64]"
relu,mlp,replacement,0.05,0.0,48671962,0.041649457851052285,0.07112561509909573,0.9778,1.0,"[64, 64]"
relu,mlp,replacement,0.05,0.0,840622048,0.04287988541324934,0.09600755412592553,0.9727,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,711231934,0.014933930077652136,0.09891358815212734,0.9752,1.0,"[64, 64]"
relu,mlp,replacement,0.0,0.0,327912921,0.014832384934897224,0.12079554157702951,0.9719,1.0,"[64, 64]"
