activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
relu,mlp,replacement,0.0,0.0,978152989,0.02579572108015418,0.07734683960130205,0.9784,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,473233032,0.023515610753496487,0.08209808173100464,0.977,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,380787083,0.02351423353527983,0.07214693034733645,0.9798,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,37501686,0.02259171868339181,0.07030039074267261,0.9802,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,125467290,0.024588736327240863,0.08155646263710223,0.9763,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,744196952,0.023834817170351744,0.08009033925298135,0.9783,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,846938259,0.02174849049821496,0.07999114265963435,0.9783,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,823002638,0.024379054034377137,0.08334404394106242,0.9785,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,625162103,0.021788410239169994,0.0769676768308389,0.9788,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,866512240,0.02584431528871258,0.09179153111418709,0.9751,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,721085797,0.02305906633660197,0.08679516470211092,0.9776,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,8043910,0.023489716836313408,0.07805656949568074,0.9781,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,97327826,0.023010442003111045,0.08012185963614611,0.9768,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,105679868,0.024383583551396925,0.08090169782759622,0.9782,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,90127986,0.02387894217421611,0.08369020349364728,0.9756,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,18713225,0.0234914107080549,0.07539655647450126,0.9799,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,835549144,0.02606813304722309,0.07748147627660074,0.9768,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,33086297,0.023197853702555102,0.08683817050089128,0.977,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,254272563,0.02559066720282038,0.08531078814868816,0.9774,1.0,"[128, 128]"
relu,mlp,replacement,0.0,0.0,17008525,0.025163473016520343,0.07603331185241695,0.978,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,519955092,0.061912231687704725,0.07201691459170542,0.9775,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,98018897,0.060653586222728095,0.07471475034803152,0.9758,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,196592081,0.06093921586871147,0.06875513845068927,0.979,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,696124035,0.06298466549913088,0.07166372336883796,0.9763,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,580989016,0.062390823445717496,0.07199025682839565,0.9783,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,540181998,0.06336364597678185,0.07083676023809239,0.9769,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,522645484,0.06382677950163683,0.06779718306814321,0.979,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,159509336,0.06198824784755707,0.0673690200298559,0.9797,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,122849989,0.06365172970493635,0.07939224299039925,0.9762,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,945397917,0.06130759663979212,0.07195675171492621,0.9777,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,766018285,0.06295925030608972,0.07210647730021738,0.9777,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,661227072,0.05937575686474641,0.06966877379791694,0.9786,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,15696794,0.061266416306296985,0.07011824551988394,0.9786,1.0,"[128, 128]"
relu,mlp,replacement,0.1,0.0,669243391,0.05926438147028287,0.07529028938859701,0.9764,1.0,"[128, 128]"
