activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
relu,mlp,replacement,0.8,0.0,721085797,1.2568383187611898,0.6024061596870423,0.8164,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,978152989,1.2816678749720256,0.5504556820869446,0.8245,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,473233032,1.2732174984614055,0.513778382062912,0.8449,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,37501686,1.2606873582839966,0.5335631836891175,0.8439,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,69323222,1.3248093456904093,0.5297993310451508,0.8443,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,866512240,1.2775161270777384,0.5814501301765442,0.8181,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,125467290,1.2717918261845906,0.5770635684967041,0.8158,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,380787083,1.262017626698812,0.5553401672363282,0.8349,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,716460187,1.324601675796509,0.5957246410369873,0.8142,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,580989016,1.3145975595474244,0.5929180281639099,0.8245,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,744196952,1.2649068796157836,0.5483356884002686,0.8241,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,159509336,1.3180745498657227,0.519766518163681,0.8441,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,18713225,1.2567086844126383,0.5094856836795807,0.8558,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,835549144,1.2650223557154339,0.5457988865852356,0.8266,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,907686068,1.3287024930318196,0.5706985414505005,0.8315,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,90127986,1.2683902892430623,0.6538002725601196,0.7926,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,105679868,1.2583168390274049,0.5068725016593933,0.8492,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,846938259,1.272323941485087,0.5105560341835021,0.8495,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,15696794,1.3352516366958618,0.6360857679367066,0.7977,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,371610197,1.3313096003214517,0.5872232773780822,0.8204,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,122849989,1.3287139854431151,0.5877051992416382,0.8321,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,497730846,1.328741027768453,0.540845461511612,0.8363,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,8043910,1.2662825262069701,0.5289580588817596,0.8417,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,519955092,1.319870124053955,0.5303142548084259,0.8393,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,625162103,1.2715630820592245,0.576929495048523,0.8203,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,766018285,1.3211198293685913,0.5603198932647705,0.8436,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,823002638,1.2697709854125976,0.5322987458705902,0.8366,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,661227072,1.326238320350647,0.5162277495384217,0.8479,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,196592081,1.3271010410308839,0.4968867012023926,0.8388,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,696124035,1.320162989171346,0.5586544893264771,0.8324,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,97327826,1.264738331158956,0.5204263380050659,0.8396,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,33086297,1.2725684029897053,0.6025863393783569,0.818,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,669243391,1.3252925393422446,0.596791402053833,0.811,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,522645484,1.3282508853912354,0.5482571375370026,0.8292,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,945397917,1.3193579004923504,0.5828984262466431,0.8328,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,268250852,1.330791652361552,0.5454705563545227,0.8393,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,98018897,1.3166356466293334,0.6042067714691162,0.8171,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,17008525,1.2788433758417765,0.5116687948226929,0.8509,1.0,"[128, 128]"
relu,mlp,replacement,0.8,0.0,254272563,1.2855333703358969,0.717801002407074,0.7819,1.0,"[128, 128]"
relu,mlp,replacement,0.81,0.0,540181998,1.3293225433985392,0.557932975769043,0.8243,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,500254774,1.3737650296529134,0.5567517227172851,0.8351,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,645816464,1.3787907951990763,0.5221911117076874,0.8368,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,979590926,1.381385463778178,0.5725046792030335,0.8259,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,289465225,1.382317629814148,0.5639996929168701,0.8258,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,49354887,1.386916404660543,0.5786803443908691,0.8112,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,553025322,1.38140040918986,0.5609763986587525,0.8257,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,621699401,1.3835578086217244,0.6834815665245056,0.7777,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,286103065,1.388304533958435,0.5752145852088928,0.819,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,73625668,1.3832656423568725,0.5932570436954498,0.808,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,912872068,1.3744030968348184,0.5610057003974914,0.8252,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,692170738,1.3772875035603842,0.5265386364459992,0.8457,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,486821677,1.443563552093506,0.5510749982833862,0.8237,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,95486605,1.3787543132781983,0.6022244728088378,0.8207,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,724912026,1.3827522297541301,0.6241371185302734,0.8087,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,597464918,1.384854414621989,0.6182443855285644,0.7977,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,67729146,1.3746991731643676,0.6034364216804504,0.812,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,405173734,1.4400684036890665,0.5866006971359253,0.8205,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,81855611,1.4398340128580729,0.611013656616211,0.8055,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,214782962,1.4431750012715658,0.6171344056129455,0.8036,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,703818161,1.4438457461039225,0.5913188678741456,0.8192,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,545570290,1.4287152203241984,0.6240642160415649,0.7988,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,507694048,1.442973580678304,0.5854792675971985,0.8029,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,324730724,1.382043732770284,0.5735335997581482,0.8182,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,381435129,1.3792235502243042,0.5613017555236817,0.8242,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,267525050,1.3745437819798787,0.519570633983612,0.8447,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,885173075,1.3790895062764486,0.5110961718559265,0.8396,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,762370993,1.4361772786458333,0.5884839665412903,0.8191,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,6206485,1.436238053448995,0.6253002106666565,0.8035,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,569256263,1.4450255283991496,0.5701123346328736,0.8251,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,75793651,1.4469094729741414,0.6095253849983215,0.8069,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,358103727,1.439795885149638,0.6221777109146118,0.8036,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,630853931,1.4367147036234538,0.5473121829986572,0.8299,1.0,"[128, 128]"
relu,mlp,replacement,0.8200000000000001,0.0,516508872,1.3839814129511516,0.5467441186904908,0.8374,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,705829017,1.440585701751709,0.6046109791755676,0.8138,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,58170179,1.4349994295756021,0.6654301904678345,0.7791,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,714480213,1.438270918528239,0.6516534304618835,0.8001,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,179435639,1.43922134475708,0.6497243831634522,0.7969,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,941193467,1.4472177877426147,0.7596859132766723,0.7664,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,20722749,1.4406299405415852,0.6675254128456116,0.7916,1.0,"[128, 128]"
relu,mlp,replacement,0.8300000000000001,0.0,154370169,1.4372437655766805,0.6478546419143677,0.7794,1.0,"[128, 128]"
relu,mlp,replacement,0.8400000000000001,0.0,533200512,1.5049960287094115,0.6797846790313721,0.7715,1.0,"[128, 128]"
relu,mlp,replacement,0.8400000000000001,0.0,371762550,1.4898386213302612,0.5904479748249054,0.817,1.0,"[128, 128]"
