activation,model_type,p,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy
relu,mlp,0.0,100,0.979771,0.0016702272300498505,0.00016702272300498505
relu,mlp,0.1,100,0.982977,0.0012914220843705574,0.00012914220843705573
relu,mlp,0.2,100,0.981465,0.0013712311985948971,0.00013712311985948972
relu,mlp,0.3,100,0.979221,0.0014775178509919972,0.0001477517850991997
relu,mlp,0.4,100,0.975769,0.0016231879127199015,0.00016231879127199015
relu,mlp,0.5,100,0.972252,0.0017735546227844198,0.00017735546227844198
relu,mlp,0.6,100,0.964397,0.0018817255379039739,0.0001881725537903974
relu,mlp,0.7,100,0.945968,0.0029211258103683246,0.00029211258103683244
relu,mlp,0.8,100,0.895423,0.007948532631876152,0.0007948532631876151
relu,mlp,0.9,100,0.770988,0.01932589599475274,0.001932589599475274
relu,mlp,1.0,100,0.1135,0.0,0.0
sigmoid,mlp,0.0,100,0.980126,0.0012856609195273827,0.00012856609195273827
sigmoid,mlp,0.1,100,0.975911,0.002337130505555906,0.0002337130505555906
sigmoid,mlp,0.2,100,0.959731,0.004407554764265557,0.00044075547642655574
sigmoid,mlp,0.3,100,0.938189,0.007434499243392251,0.000743449924339225
sigmoid,mlp,0.4,100,0.915142,0.0100469814372278,0.00100469814372278
sigmoid,mlp,0.5,100,0.901704,0.009373429681818708,0.0009373429681818708
sigmoid,mlp,0.6,100,0.884526,0.009577417397190126,0.0009577417397190126
sigmoid,mlp,0.7,100,0.862008,0.00914460146753263,0.0009144601467532629
sigmoid,mlp,0.8,100,0.81115,0.009017111510899704,0.0009017111510899704
sigmoid,mlp,0.9,100,0.761628,0.010878263464358636,0.0010878263464358636
sigmoid,mlp,1.0,100,0.1135,0.0,0.0
tanh,mlp,0.0,100,0.979859,0.0020995759095588764,0.00020995759095588764
tanh,mlp,0.1,100,0.97984,0.001294758664771165,0.0001294758664771165
tanh,mlp,0.2,100,0.974044,0.0018389845023816765,0.00018389845023816765
tanh,mlp,0.3,100,0.96508,0.002725802634087796,0.0002725802634087796
tanh,mlp,0.4,100,0.95399,0.0029988497794988,0.00029988497794988003
tanh,mlp,0.5,100,0.939141,0.004008119134955948,0.00040081191349559486
tanh,mlp,0.6,100,0.916012,0.005139363384700484,0.0005139363384700484
tanh,mlp,0.7,100,0.881488,0.008060760261910783,0.0008060760261910784
tanh,mlp,0.8,100,0.830496,0.008908029187199608,0.0008908029187199608
tanh,mlp,0.9,100,0.770061,0.009379583093080414,0.0009379583093080413
tanh,mlp,1.0,100,0.107536,0.014546721417556604,0.0014546721417556603
