activation,model_type,p,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
relu,mlp,0.8,100,0.89698,0.007234721832938707,0.0007234721832938707,0.4492950168625489,0.02674576740025235,0.002674576740025235
relu,mlp,0.81,100,0.887117,0.008255398900113791,0.0008255398900113792,0.4776208993677944,0.027997693561229837,0.0027997693561229837
relu,mlp,0.8200000000000001,100,0.879621,0.008307445997417012,0.0008307445997417012,0.49196919481909274,0.03108368243862793,0.003108368243862793
relu,mlp,0.8300000000000001,100,0.867941,0.01025377096486946,0.0010253770964869459,0.5170567944157124,0.035268820586939385,0.0035268820586939384
relu,mlp,0.8400000000000001,100,0.85658,0.010657748355070128,0.0010657748355070128,0.5368251675677299,0.033357978911384034,0.0033357978911384032
relu,mlp,0.8500000000000001,100,0.843514,0.01128675347475969,0.001128675347475969,0.5585377005119324,0.03472177901148003,0.0034721779011480033
relu,mlp,0.86,100,0.828214,0.013590835294418074,0.0013590835294418073,0.5848071105284691,0.033795175810021595,0.0033795175810021594
relu,mlp,0.87,100,0.809711,0.013331105693077378,0.0013331105693077379,0.6178195891594886,0.0370468350531455,0.00370468350531455
relu,mlp,0.88,100,0.7962,0.01665339605005538,0.0016653396050055381,0.6418715093340873,0.047254849573953144,0.004725484957395314
relu,mlp,0.89,100,0.781768,0.017362072917713474,0.0017362072917713473,0.6642675198507308,0.04286384885036296,0.004286384885036296
relu,mlp,0.9,100,0.772493,0.016769294886786384,0.0016769294886786385,0.6837552700386047,0.04134949576579412,0.004134949576579412
relu,mlp,0.91,100,0.753691,0.024698113672910325,0.0024698113672910324,0.730046115190506,0.05854743491037431,0.005854743491037431
relu,mlp,0.92,100,0.721956,0.03379096719539114,0.003379096719539114,0.8132501901454926,0.07738899964845564,0.007738899964845563
relu,mlp,0.93,100,0.663807,0.06644534785069606,0.006644534785069605,0.9674766258811951,0.15995789845523467,0.015995789845523467
relu,mlp,0.9400000000000001,100,0.534048,0.13288424246689298,0.013288424246689298,1.3039747246589661,0.31963007728176,0.031963007728176
relu,mlp,0.95,100,0.290496,0.1418475582588576,0.01418475582588576,1.8736849316587447,0.3337269387953011,0.03337269387953011
relu,mlp,0.96,100,0.165746,0.07423919775967411,0.007423919775967411,2.177524814083099,0.16443411215770953,0.016443411215770955
relu,mlp,0.97,100,0.11937,0.02701433138169442,0.002701433138169442,2.2848315039711,0.0622233404633475,0.00622233404633475
relu,mlp,0.98,100,0.1135,0.0,0.0,2.2998812308883667,0.0016598527508654105,0.00016598527508654106
relu,mlp,0.99,100,0.1135,0.0,0.0,2.3006678194465637,0.0004347439488173264,4.3474394881732636e-05
relu,mlp,1.0,100,0.1135,0.0,0.0,2.300891219844818,0.00022358591078944643,2.2358591078944645e-05
sigmoid,mlp,0.8,100,0.812628,0.009789740343849782,0.0009789740343849782,0.5937872259454727,0.030827621382906265,0.0030827621382906265
sigmoid,mlp,0.81,100,0.806251,0.011278585859938293,0.0011278585859938292,0.6110750334434509,0.030523192040639115,0.0030523192040639116
sigmoid,mlp,0.8200000000000001,100,0.800484,0.010242682461152449,0.001024268246115245,0.6263899303336143,0.02867469751803955,0.002867469751803955
sigmoid,mlp,0.8300000000000001,100,0.7933209999999999,0.011594854850320463,0.0011594854850320462,0.6473052622075081,0.03429812877307786,0.0034298128773077863
sigmoid,mlp,0.8400000000000001,100,0.788582,0.010674515258315009,0.0010674515258315008,0.6545682970981598,0.027259656256149435,0.0027259656256149434
sigmoid,mlp,0.8500000000000001,100,0.78546,0.010204391211630416,0.0010204391211630416,0.6624759652471542,0.023861322919604196,0.0023861322919604194
sigmoid,mlp,0.86,100,0.782764,0.011670737080407566,0.0011670737080407567,0.6683156180572509,0.02596059800759945,0.002596059800759945
sigmoid,mlp,0.87,100,0.7767,0.01115015694956802,0.001115015694956802,0.6850972902460098,0.02324057941095209,0.0023240579410952087
sigmoid,mlp,0.88,100,0.770352,0.01388451281104238,0.0013884512811042382,0.7060477531023025,0.0249666718261637,0.00249666718261637
sigmoid,mlp,0.89,100,0.764754,0.013435448782977068,0.0013435448782977068,0.7287572997970581,0.02297765422343153,0.002297765422343153
sigmoid,mlp,0.9,100,0.758681,0.01342176363225042,0.001342176363225042,0.752618797990799,0.020570177952016672,0.002057017795201667
sigmoid,mlp,0.91,100,0.753782,0.013103620721006846,0.0013103620721006846,0.7882275487947464,0.021542233723284503,0.0021542233723284504
sigmoid,mlp,0.92,100,0.742661,0.015674366940964465,0.0015674366940964465,0.8365736620779037,0.024321564842801662,0.0024321564842801663
sigmoid,mlp,0.93,100,0.736426,0.015539128804408565,0.0015539128804408565,0.8883153463697433,0.023334483389726882,0.002333448338972688
sigmoid,mlp,0.9400000000000001,100,0.730239,0.013776740507101096,0.0013776740507101097,0.9713377485752106,0.020646415730792074,0.0020646415730792072
sigmoid,mlp,0.95,100,0.717204,0.016111492295873775,0.0016111492295873774,1.0808189148664475,0.02514048675122853,0.002514048675122853
sigmoid,mlp,0.96,100,0.698529,0.018218788626031098,0.00182187886260311,1.2551598350524902,0.037524357584081784,0.0037524357584081784
sigmoid,mlp,0.97,100,0.629622,0.02057200806921872,0.002057200806921872,1.5264402942142488,0.029192957132617544,0.0029192957132617545
sigmoid,mlp,0.98,100,0.425001,0.040376174893122306,0.004037617489312231,1.919941531862259,0.032559273370469155,0.0032559273370469156
sigmoid,mlp,0.99,100,0.1135,0.0,0.0,2.298698994491577,0.0024057574093205914,0.00024057574093205915
sigmoid,mlp,1.0,100,0.1135,0.0,0.0,2.3003648183174135,0.0005564496621186285,5.564496621186285e-05
tanh,mlp,0.8,100,0.830329,0.008439422906810625,0.0008439422906810625,0.5422033322882652,0.018603576983205878,0.0018603576983205878
tanh,mlp,0.81,100,0.827308,0.009850296239200125,0.0009850296239200126,0.5558195174980164,0.022410233499342173,0.0022410233499342174
tanh,mlp,0.8200000000000001,100,0.821634,0.009229964463636895,0.0009229964463636894,0.5729849806866646,0.018857613220691835,0.0018857613220691835
tanh,mlp,0.8300000000000001,100,0.81305,0.009703190197043446,0.0009703190197043446,0.597353159219265,0.01948025763079808,0.001948025763079808
tanh,mlp,0.8400000000000001,100,0.809386,0.010271046879456834,0.0010271046879456835,0.6136950200648308,0.019430472796492584,0.0019430472796492584
tanh,mlp,0.8500000000000001,100,0.80387,0.00982646935577576,0.0009826469355775761,0.637578270166874,0.018674551590649437,0.0018674551590649436
tanh,mlp,0.86,100,0.797199,0.009294229338681077,0.0009294229338681077,0.66264395505476,0.019975574493694095,0.0019975574493694094
tanh,mlp,0.87,100,0.791667,0.010039193742527335,0.0010039193742527334,0.6978779992141724,0.01794570940076692,0.001794570940076692
tanh,mlp,0.88,100,0.784652,0.009428037759788621,0.0009428037759788621,0.7407942195825576,0.015566403164524286,0.0015566403164524287
tanh,mlp,0.89,100,0.775344,0.01035594824243536,0.001035594824243536,0.7935522824239731,0.017470487829497255,0.0017470487829497256
tanh,mlp,0.9,100,0.770864,0.010993511904755459,0.0010993511904755459,0.8453253256940841,0.01885082609112084,0.001885082609112084
tanh,mlp,0.91,100,0.763146,0.011099571343074472,0.0011099571343074473,0.9172886109762192,0.01822686636550523,0.0018226866365505232
tanh,mlp,0.92,100,0.757515,0.011892420905770192,0.0011892420905770193,1.010173629306793,0.020611764234475572,0.002061176423447557
tanh,mlp,0.93,100,0.748998,0.014828384807523711,0.001482838480752371,1.1204888148918153,0.023779331429715046,0.0023779331429715045
tanh,mlp,0.9400000000000001,100,0.741561,0.017320264980652002,0.0017320264980652002,1.2473933270053863,0.019831242073041218,0.001983124207304122
tanh,mlp,0.95,100,0.730146,0.016981227399690522,0.0016981227399690522,1.3980099120140075,0.026554896422164905,0.0026554896422164905
