activation,model_type,corruption_mode,p,sigma,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
gelu,mlp,replacement,0.0,0.0,100,0.978245,0.0011084561335479215,0.00011084561335479215,0.08079103686154514,0.00423594004262116,0.00042359400426211595
gelu,mlp,replacement,0.1,0.0,100,0.979553,0.0013088510228440797,0.00013088510228440796,0.06876827409839618,0.004293717608200774,0.0004293717608200774
gelu,mlp,replacement,0.2,0.0,100,0.976585,0.0016738204802188312,0.00016738204802188312,0.07915670062996531,0.005339144841351686,0.0005339144841351686
gelu,mlp,replacement,0.3,0.0,100,0.973196,0.0020395548533932626,0.00020395548533932626,0.09527122197647563,0.006979953573905812,0.0006979953573905812
gelu,mlp,replacement,0.4,0.0,100,0.969835,0.001626368654395433,0.0001626368654395433,0.11699905150203299,0.006365380058389644,0.0006365380058389644
gelu,mlp,replacement,0.5,0.0,100,0.964108,0.00180181464085516,0.00018018146408551602,0.15550694527862247,0.008507943784755395,0.0008507943784755395
gelu,mlp,replacement,0.6,0.0,100,0.953185,0.005086204380478631,0.0005086204380478631,0.22597836324554066,0.01975833005783376,0.001975833005783376
gelu,mlp,replacement,0.7,0.0,100,0.919777,0.024330959105633296,0.0024330959105633297,0.43139521132618003,0.21394340652459928,0.021394340652459928
gelu,mlp,replacement,0.8,0.0,100,0.83675,0.042214643194038726,0.004221464319403873,1.194502969418034,0.8526223276625126,0.08526223276625125
gelu,mlp,replacement,0.9,0.0,100,0.737303,0.038527617250486694,0.0038527617250486692,0.8133900015611648,0.12816899195402165,0.012816899195402165
gelu,mlp,replacement,1.0,0.0,100,0.10875900000000001,0.013725036211245493,0.0013725036211245493,2.2997020900802614,0.004812900509297347,0.00048129005092973465
relu,mlp,replacement,0.0,0.0,100,0.978003,0.0009837128646104012,9.837128646104012e-05,0.08063682840516258,0.0035175510569585133,0.0003517551056958513
relu,mlp,replacement,0.1,0.0,100,0.979617,0.0012695711874487385,0.00012695711874487385,0.068571668858049,0.0038338433536146605,0.00038338433536146604
relu,mlp,replacement,0.2,0.0,100,0.975644,0.0021051992779782124,0.00021051992779782123,0.08159864695405199,0.00649871766955438,0.000649871766955438
relu,mlp,replacement,0.3,0.0,100,0.972013,0.0019006133220621215,0.00019006133220621216,0.0988803394004983,0.006862597856080129,0.0006862597856080129
relu,mlp,replacement,0.4,0.0,100,0.967703,0.0019610433447529896,0.00019610433447529897,0.12217589378154252,0.006936311654835714,0.0006936311654835714
relu,mlp,replacement,0.5,0.0,100,0.962066,0.0018940021119312424,0.00018940021119312424,0.15695634495876357,0.007774779362521442,0.0007774779362521441
relu,mlp,replacement,0.6,0.0,100,0.950333,0.0027075101107844404,0.00027075101107844405,0.22300659910317952,0.010181889678393759,0.0010181889678393759
relu,mlp,replacement,0.7,0.0,100,0.923573,0.0056549775419536315,0.0005654977541953632,0.3320647523674667,0.017384425127433975,0.0017384425127433974
relu,mlp,replacement,0.8,0.0,100,0.853931,0.01837919854074165,0.0018379198540741648,0.5352572910137177,0.04952780606430593,0.004952780606430593
relu,mlp,replacement,0.9,0.0,100,0.729737,0.030432198918251052,0.0030432198918251053,0.8199489821853637,0.08456894511666908,0.008456894511666908
relu,mlp,replacement,1.0,0.0,100,0.113544,0.0003253674845463195,3.2536748454631945e-05,2.3009811897506713,0.0008688706759879187,8.688706759879188e-05
sigmoid,mlp,replacement,0.0,0.0,100,0.976535,0.0008694107199707132,8.694107199707132e-05,0.0752235996266324,0.002003200701519106,0.0002003200701519106
sigmoid,mlp,replacement,0.1,0.0,100,0.972237,0.0014934292751918304,0.00014934292751918305,0.08976002029665932,0.004251860504802004,0.00042518605048020035
