activation,model_type,corruption_mode,p,sigma,mlp_width,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
gelu,mlp,replacement,0.0,0.0,64,100,0.974688,0.001555138579034031,0.0001555138579034031,0.10507852131479668,0.006893127286503047,0.0006893127286503047
gelu,mlp,replacement,0.05,0.0,64,100,0.977531,0.001505303623857995,0.0001505303623857995,0.07767803741374056,0.005807881196651316,0.0005807881196651316
gelu,mlp,replacement,0.1,0.0,64,100,0.977481,0.0015503351250616716,0.00015503351250616718,0.07439764334261183,0.004774776746690079,0.0004774776746690079
gelu,mlp,replacement,0.15000000000000002,0.0,64,100,0.97608,0.0017953272682160143,0.00017953272682160143,0.07773169055147143,0.005348160197960661,0.0005348160197960661
gelu,mlp,replacement,0.2,0.0,64,100,0.974753,0.0016841291518170497,0.00016841291518170497,0.08150725643272203,0.005903702568471858,0.0005903702568471859
gelu,mlp,replacement,0.25,0.0,64,100,0.973237,0.0019208151915267617,0.00019208151915267618,0.08577715919972706,0.006124166703144643,0.0006124166703144643
gelu,mlp,replacement,0.30000000000000004,0.0,64,100,0.971955,0.0021599710646210096,0.00021599710646210096,0.09073472534125944,0.0065373144028460254,0.0006537314402846026
gelu,mlp,replacement,0.35000000000000003,0.0,64,100,0.970423,0.002003539617776504,0.0002003539617776504,0.09749982038146161,0.006798427232537587,0.0006798427232537587
gelu,mlp,replacement,0.4,0.0,64,100,0.968465,0.0028982537846089377,0.00028982537846089377,0.10558567280951121,0.008536940282307606,0.0008536940282307606
gelu,mlp,replacement,0.45,0.0,64,100,0.964521,0.006400801434195565,0.0006400801434195565,0.12325754321468761,0.026427155099411754,0.0026427155099411756
gelu,mlp,replacement,0.5,0.0,64,100,0.958399,0.012335894738526264,0.0012335894738526264,0.15204631215598208,0.05625546544688221,0.005625546544688221
gelu,mlp,replacement,0.55,0.0,64,100,0.948729,0.022724899537731737,0.0022724899537731737,0.22392250037196215,0.2654706880565649,0.026547068805656486
gelu,mlp,replacement,0.6000000000000001,0.0,64,100,0.9352239999999999,0.03256292099919785,0.003256292099919785,0.33957110306922067,0.42586620824178906,0.042586620824178904
gelu,mlp,replacement,0.65,0.0,64,100,0.890576,0.06035510768775084,0.006035510768775084,1.060709838023955,1.2588291324161314,0.12588291324161313
gelu,mlp,replacement,0.7000000000000001,0.0,64,100,0.846586,0.07002596235682877,0.0070025962356828775,2.214695149278272,2.442898166627029,0.2442898166627029
gelu,mlp,replacement,0.75,0.0,64,100,0.790579,0.07224325614893061,0.007224325614893061,3.317499586940378,2.7579690308394675,0.2757969030839468
gelu,mlp,replacement,0.8,0.0,64,100,0.739769,0.06925041327674515,0.006925041327674515,4.834776411374688,3.320940686383068,0.3320940686383068
gelu,mlp,replacement,0.8500000000000001,0.0,64,100,0.711735,0.0560563330498883,0.00560563330498883,3.0798486908402443,1.8217034367181613,0.18217034367181612
