activation,model_type,corruption_mode,p,sigma,mlp_width,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
relu,mlp,replacement,0.0,0.0,128,20,0.977805,0.0013166149778883727,0.00029440405907527837,0.08031296186332008,0.005048341678014295,0.001128843516568532
relu,mlp,replacement,0.1,0.0,128,20,0.97806,0.0013639648089302122,0.00030499180316854665,0.07057873844411151,0.003504558563913011,0.0007836431180038533
relu,mlp,replacement,0.2,0.0,128,20,0.97481,0.002079158483617825,0.0004649139705364839,0.0788924253862795,0.006184015675651847,0.001382787942468182
relu,mlp,replacement,0.4,0.0,128,20,0.966565,0.0019525048015305935,0.0004365933462617142,0.11249221523930668,0.0066605870406892765,0.001489352539303538
relu,mlp,replacement,0.6,0.0,128,20,0.943295,0.0038619263328033577,0.0008635529804244783,0.214833279818967,0.010526231605960399,0.002353736941783423
relu,mlp,replacement,0.8,0.0,128,20,0.838895,0.010416164121210835,0.0023291251039821784,0.5360915555930138,0.03252583230396319,0.00727299720564203
relu,mlp,replacement,1.0,0.0,128,20,0.1135,0.0,0.0,2.301097883052826,0.00031020440676459885,6.936381404456386e-05
relu,mlp,replacement,0.0,0.0,256,20,0.9790449999999999,0.0014599571911532202,0.00032645635236582546,0.08236651898520708,0.004785497271894187,0.0010700697206095196
relu,mlp,replacement,0.1,0.0,256,20,0.980815,0.0014266306459627205,0.0003190043103157079,0.06709705633785303,0.00490620805985937,0.0010970614733602907
relu,mlp,replacement,0.2,0.0,256,20,0.97912,0.0015347964034359807,0.00034319090897050444,0.07128153791718796,0.004762455712161898,0.0010649174712226174
relu,mlp,replacement,0.4,0.0,256,20,0.972005,0.0018296106143111412,0.0004091133705954861,0.10477810503130888,0.008387459797409917,0.0018754930265555188
relu,mlp,replacement,0.6,0.0,256,20,0.954915,0.002504251385144871,0.0005599676329931939,0.19378647487098583,0.011802406269334261,0.0026390982716301098
relu,mlp,replacement,0.8,0.0,256,20,0.8714500000000001,0.00813108233877876,0.001818165284015728,0.48247461160361765,0.02549957282317922,0.005701877822983496
relu,mlp,replacement,1.0,0.0,256,20,0.1135,0.0,0.0,2.300878967552185,0.00026292945523806726,5.879281351993065e-05
relu,mlp,replacement,0.0,0.0,512,20,0.979935,0.0015576504742720652,0.0003483012345657125,0.08581980502219214,0.008413326487434548,0.0018812769942803179
relu,mlp,replacement,0.1,0.0,512,20,0.98215,0.0020986900676374367,0.00046928136549409397,0.06923766522183393,0.008840630986559836,0.0019768251849938824
relu,mlp,replacement,0.2,0.0,512,20,0.98068,0.0011668761716651776,0.0002609214441168051,0.07207886982903285,0.005241659584749659,0.0011720707146413557
relu,mlp,replacement,0.4,0.0,512,20,0.97464,0.0010818502669038698,0.00024190907382733436,0.10474638993346172,0.006273090366141796,0.00140270564876921
relu,mlp,replacement,0.6,0.0,512,20,0.96008,0.0025325086376950462,0.000566286146749151,0.1958148425665633,0.011202093194709148,0.002504864187365744
relu,mlp,replacement,0.8,0.0,512,20,0.884235,0.007818393377158775,0.001748245906616117,0.48868575389981267,0.03281895756076323,0.007338542005654727
relu,mlp,replacement,1.0,0.0,512,20,0.1135,0.0,0.0,2.3008730381774902,0.0002767008169124491,6.187218360459596e-05
sigmoid,mlp,replacement,0.0,0.0,128,20,0.974455,0.0010007372282472477,0.00022377164699755684,0.08346295145673677,0.0025958931980547785,0.0005804593653179809
sigmoid,mlp,replacement,0.1,0.0,128,20,0.96551,0.0016872759110471503,0.0003772863633899316,0.11329612383764237,0.005448602611952216,0.0012183445822708061
sigmoid,mlp,replacement,0.2,0.0,128,20,0.947235,0.004965508533876462,0.0011103214624603086,0.17287371968373655,0.016447830432790425,0.0036778466930109176
sigmoid,mlp,replacement,0.4,0.0,128,20,0.9122399999999999,0.006492564978496564,0.0014517816640252778,0.28580470553047954,0.0202371625063702,0.004525167103595378
sigmoid,mlp,replacement,0.6,0.0,128,20,0.87914,0.012829084145019865,0.002868670423732919,0.39241399412453176,0.036167878519671834,0.008087383497194069
sigmoid,mlp,replacement,0.8,0.0,128,20,0.82691,0.009231624992383508,0.0020642541025755502,0.5446513296031952,0.022162615238505226,0.00495571142324704
