activation,model_type,corruption_mode,p,sigma,mlp_width,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
relu,mlp,replacement,0.8,0.0,128,20,0.829265,0.01885161200003861,0.00421534859175371,0.5589787557458877,0.05247204130978138,0.011733105128684826
relu,mlp,replacement,0.81,0.0,128,20,0.83004,0.012639003125246863,0.0028261670155884273,0.5629363561749459,0.034252891082484124,0.007659179288633086
relu,mlp,replacement,0.8200000000000001,0.0,128,20,0.8219650000000001,0.016187318338749014,0.003619594417887176,0.5727445080113411,0.03998879187008993,0.008941765695961203
relu,mlp,replacement,0.8300000000000001,0.0,128,20,0.80448,0.016162660672055205,0.003614080795997787,0.6188041425609588,0.04668958851851841,0.010440109376890086
relu,mlp,replacement,0.8400000000000001,0.0,128,20,0.799965,0.017527871376753087,0.003919351189929273,0.6266478543114662,0.038498867996847215,0.008608608589774153
relu,mlp,replacement,0.8500000000000001,0.0,128,20,0.794395,0.015196890306901589,0.003398127977283959,0.6280911588573456,0.033941382840025146,0.007589523928064109
relu,mlp,replacement,0.86,0.0,128,20,0.777665,0.024315350604093698,0.0054370776847494084,0.6736189675021171,0.06627202007598237,0.014818874189612736
relu,mlp,replacement,0.87,0.0,128,20,0.772085,0.021822036454006762,0.004879555691863758,0.6845688185882568,0.06185332177672343,0.013830823212692165
relu,mlp,replacement,0.88,0.0,128,20,0.760325,0.026041752533191763,0.005823112891744413,0.7080791597437859,0.06845682452683968,0.01530741131657884
relu,mlp,replacement,0.89,0.0,128,20,0.73916,0.029874628031157143,0.006680169908018807,0.7544949850010871,0.06715212016496466,0.015015670552209537
relu,mlp,replacement,0.9,0.0,128,20,0.7159449999999999,0.03977326331846559,0.008893572046708792,0.8152733857870103,0.09452860821322998,0.021137239378322716
relu,mlp,replacement,0.91,0.0,128,20,0.67488,0.07683459897728367,0.01718073863371421,0.9461175275087357,0.2025327752185319,0.04528770530603222
relu,mlp,replacement,0.92,0.0,128,20,0.63066,0.10591966012030062,0.023684356018266572,1.0638802391195297,0.2590992635365278,0.05793635661878087
relu,mlp,replacement,0.93,0.0,128,20,0.5416650000000001,0.10861425447426319,0.024286885632991317,1.2748177722167968,0.25895525944182773,0.057904156324302104
relu,mlp,replacement,0.9400000000000001,0.0,128,20,0.34732,0.12953405575368973,0.0289646954066498,1.7366006049251557,0.298150917346051,0.06666857187396912
relu,mlp,replacement,0.95,0.0,128,20,0.200335,0.08853112602356304,0.01979616159132876,2.083734517173767,0.23061151021976442,0.051566301324528066
